function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Rosenbrock,30,1.0,100,7,1007,1633.508620237545,1079,0.01599860191345215
Rosenbrock,30,1.0,100,8,1008,2164.3743086538857,509,0.008007287979125977
Rosenbrock,30,1.0,100,9,1009,26.758709359663825,3001,0.04451727867126465
Rosenbrock,30,10.0,10,0,1000,213.54821611589753,3001,0.037596702575683594
Rosenbrock,30,10.0,10,1,1001,24.340595972430343,3001,0.0410921573638916
Rosenbrock,30,10.0,10,2,1002,28.06277927472206,3001,0.04392266273498535
Rosenbrock,30,10.0,10,3,1003,28.62298152666185,3001,0.04366731643676758
Rosenbrock,30,10.0,10,4,1004,28.519532102436457,3001,0.1255052089691162
Rosenbrock,30,10.0,10,5,1005,28.30786103693666,3001,0.042008399963378906
Rosenbrock,30,10.0,10,6,1006,201.18735564160966,3001,0.04920363426208496
Rosenbrock,30,10.0,10,7,1007,28.649675608096558,3001,0.05452704429626465
Rosenbrock,30,10.0,10,8,1008,23.556439656619894,3001,0.04299759864807129
Rosenbrock,30,10.0,10,9,1009,29.242101147491915,3001,0.05010652542114258
Rosenbrock,30,10.0,100,0,1000,993709.2001143444,152,0.0029649734497070312
Rosenbrock,30,10.0,100,1,1001,3049853.469360318,152,0.0020520687103271484
Rosenbrock,30,10.0,100,2,1002,3358872.5548976874,152,0.0019845962524414062
Rosenbrock,30,10.0,100,3,1003,9388067.006097743,152,0.0019979476928710938
Rosenbrock,30,10.0,100,4,1004,3042015.4073941605,152,0.0020093917846679688
Rosenbrock,30,10.0,100,5,1005,3907996.5672237086,152,0.0009899139404296875
Rosenbrock,30,10.0,100,6,1006,28.93055945578454,3001,0.04333829879760742
Rosenbrock,30,10.0,100,7,1007,4968925.154267174,152,0.001999378204345703
Rosenbrock,30,10.0,100,8,1008,4971309.054199011,152,0.0019991397857666016
Rosenbrock,30,10.0,100,9,1009,3666547.155821894,152,0.002000093460083008
Ackley,10,0.1,10,0,1000,7.404456234028622,547,0.008504867553710938
Ackley,10,0.1,10,1,1001,13.11523016638322,1001,0.016000986099243164
Ackley,10,0.1,10,2,1002,12.17765898485818,748,0.01599907875061035
Ackley,10,0.1,10,3,1003,12.762719317058385,1001,0.015092611312866211
Ackley,10,0.1,10,4,1004,11.903264644064576,106,0.0020079612731933594
Ackley,10,0.1,10,5,1005,11.196133089276302,1001,0.014902114868164062
Ackley,10,0.1,10,6,1006,11.3435238561015,882,0.013185262680053711
Ackley,10,0.1,10,7,1007,13.30380620852648,1001,0.01566910743713379
Ackley,10,0.1,10,8,1008,10.391116341668983,925,0.014005661010742188
Ackley,10,0.1,10,9,1009,12.970283169598016,1001,0.014005184173583984
Ackley,10,0.1,100,0,1000,7.530316161193863,210,0.004063129425048828
Ackley,10,0.1,100,1,1001,13.312259111127966,144,0.001955747604370117
Ackley,10,0.1,100,2,1002,12.289683161403978,159,0.002043485641479492
Ackley,10,0.1,100,3,1003,12.870611745829311,164,0.0030088424682617188
Ackley,10,0.1,100,4,1004,11.778863330215284,124,0.0019898414611816406
Ackley,10,0.1,100,5,1005,11.31671181720527,131,0.0029158592224121094
Ackley,10,0.1,100,6,1006,11.558319415765311,227,0.002999544143676758
Ackley,10,0.1,100,7,1007,13.381976579556932,142,0.0020003318786621094
Ackley,10,0.1,100,8,1008,10.732918187412162,162,0.0020003318786621094
Ackley,10,0.1,100,9,1009,13.087755626146313,208,0.002999544143676758
Ackley,10,1.0,10,0,1000,7.360594887773075e-05,1001,0.015694141387939453
Ackley,10,1.0,10,1,1001,14.26850082280649,56,0.000995635986328125
Ackley,10,1.0,10,2,1002,3.1114418526166685,163,0.0020847320556640625
Ackley,10,1.0,10,3,1003,2.3168488420176456,1001,0.01569366455078125
Ackley,10,1.0,10,4,1004,1.6462236539719908,1001,0.015179157257080078
Ackley,10,1.0,10,5,1005,3.3153055257313295,153,0.002000093460083008
Ackley,10,1.0,10,6,1006,1.6462298819303283,696,0.010623931884765625
Ackley,10,1.0,10,7,1007,1.155148616923864,1001,0.01600337028503418
Ackley,10,1.0,10,8,1008,0.00039616605935721694,1001,0.015999794006347656
Ackley,10,1.0,10,9,1009,2.013315330094827,1001,0.017505168914794922
Ackley,10,1.0,100,0,1000,2.7272208931826403,194,0.003998279571533203
Ackley,10,1.0,100,1,1001,14.26850082280649,56,0.0
Ackley,10,1.0,100,2,1002,11.55193271756469,72,0.0019986629486083984
Ackley,10,1.0,100,3,1003,3.705360399295547,183,0.003000497817993164
Ackley,10,1.0,100,4,1004,4.280402512043889,190,0.0029997825622558594
Ackley,10,1.0,100,5,1005,4.065788399042642,164,0.003003358840942383
Ackley,10,1.0,100,6,1006,3.212661381368815,277,0.004999876022338867
Ackley,10,1.0,100,7,1007,2.756001041193436,236,0.004001140594482422
Ackley,10,1.0,100,8,1008,3.700598880832058,139,0.0029985904693603516
Ackley,10,1.0,100,9,1009,2.796971884952083,260,0.004300594329833984
Ackley,10,10.0,10,0,1000,2.5799294025906403,1001,0.026230812072753906
Ackley,10,10.0,10,1,1001,3.6927316156290364,281,0.006009101867675781
Ackley,10,10.0,10,2,1002,3.1831590633445193,254,0.006997346878051758
Ackley,10,10.0,10,3,1003,1.6462236700329211,1001,0.020681142807006836
Ackley,10,10.0,10,4,1004,2.0133158617977434,1001,0.019023656845092773
Ackley,10,10.0,10,5,1005,0.0003887114711642603,1001,0.019974708557128906
Ackley,10,10.0,10,6,1006,6.49078450395071,264,0.005001068115234375
Ackley,10,10.0,10,7,1007,1.1551488670276702,1001,0.01899862289428711
Ackley,10,10.0,10,8,1008,5.817375590013853,190,0.00400090217590332
Ackley,10,10.0,10,9,1009,10.353231701215872,96,0.0009989738464355469
Ackley,10,10.0,100,0,1000,9.25461716209046,52,0.0009987354278564453
Ackley,10,10.0,100,1,1001,15.022039048560853,52,0.002999544143676758
Ackley,10,10.0,100,2,1002,11.09112641430309,124,0.00231170654296875
Ackley,10,10.0,100,3,1003,12.025971885954045,165,0.0029997825622558594
Ackley,10,10.0,100,4,1004,12.46621721298176,89,0.002000570297241211
Ackley,10,10.0,100,5,1005,12.662725793997277,52,0.0
Ackley,10,10.0,100,6,1006,11.791261166761421,97,0.0020868778228759766
Ackley,10,10.0,100,7,1007,11.112852377206597,151,0.06542539596557617
Ackley,10,10.0,100,8,1008,12.789817492188156,52,0.0009996891021728516
Ackley,10,10.0,100,9,1009,12.94360125938477,71,0.0009982585906982422
Ackley,30,0.1,10,0,1000,10.212589517710583,3001,0.06400537490844727
Ackley,30,0.1,10,1,1001,12.572763426257339,3001,0.12456011772155762
Ackley,30,0.1,10,2,1002,12.776932253638872,3001,0.06100106239318848
Ackley,30,0.1,10,3,1003,14.129681006571408,3001,0.05950736999511719
Ackley,30,0.1,10,4,1004,12.461129183464358,3001,0.052999019622802734
Ackley,30,0.1,10,5,1005,13.140961791030417,3001,0.04852938652038574
Ackley,30,0.1,10,6,1006,13.174978080209844,3001,0.04698467254638672
Ackley,30,0.1,10,7,1007,12.719746528530965,3001,0.05861020088195801
Ackley,30,0.1,10,8,1008,12.183201748000046,3001,0.0520782470703125
Ackley,30,0.1,10,9,1009,13.019253547650077,3001,0.05183720588684082
Ackley,30,0.1,100,0,1000,10.333945570492528,797,0.0180966854095459
Ackley,30,0.1,100,1,1001,12.517373351404798,3001,0.06560564041137695
Ackley,30,0.1,100,2,1002,12.884097533159501,3001,0.053785085678100586
Ackley,30,0.1,100,3,1003,14.170938508045449,3001,0.04725193977355957
Ackley,30,0.1,100,4,1004,12.595688656518787,756,0.012088537216186523
Ackley,30,0.1,100,5,1005,13.140964193137222,3001,0.06298208236694336
Ackley,30,0.1,100,6,1006,13.179218903466055,3001,0.05008888244628906
Ackley,30,0.1,100,7,1007,12.719756570705767,3001,0.05078935623168945
Ackley,30,0.1,100,8,1008,12.183207060389572,3001,0.055910348892211914
Ackley,30,0.1,100,9,1009,12.828588724597086,3001,0.04959583282470703
Ackley,30,1.0,10,0,1000,4.737758242606578,3001,0.049733877182006836
Ackley,30,1.0,10,1,1001,11.978099818545996,3001,0.061347246170043945
Ackley,30,1.0,10,2,1002,10.653205468923314,3001,0.06059145927429199
Ackley,30,1.0,10,3,1003,7.331282001288669,3001,0.05166506767272949
Ackley,30,1.0,10,4,1004,5.951829183159596,3001,0.06197023391723633
Ackley,30,1.0,10,5,1005,12.795798479808184,3001,0.06052517890930176
Ackley,30,1.0,10,6,1006,6.055919289193309,3001,0.05408215522766113
Ackley,30,1.0,10,7,1007,8.761528310322962,3001,0.052546024322509766
Ackley,30,1.0,10,8,1008,5.3817159359870885,3001,0.054003238677978516
Ackley,30,1.0,10,9,1009,6.51430287346243,3001,0.05350828170776367
Ackley,30,1.0,100,0,1000,4.132783669583802,587,0.012005805969238281
Ackley,30,1.0,100,1,1001,10.576177786413028,334,0.005013704299926758
Ackley,30,1.0,100,2,1002,2.8879209067765115,3001,0.1379094123840332
Ackley,30,1.0,100,3,1003,10.276427388284494,3001,0.05327415466308594
Ackley,30,1.0,100,4,1004,6.820294798061983,3001,0.05260491371154785
Ackley,30,1.0,100,5,1005,10.194558205570214,3001,0.04799914360046387
Ackley,30,1.0,100,6,1006,13.90751103070771,162,0.0020017623901367188
Ackley,30,1.0,100,7,1007,12.28836591143144,217,0.004000186920166016
Ackley,30,1.0,100,8,1008,5.56831121318827,629,0.010996818542480469
Ackley,30,1.0,100,9,1009,11.118798200727152,264,0.00500178337097168
Ackley,30,10.0,10,0,1000,4.954746181783872,3001,0.05505967140197754
Ackley,30,10.0,10,1,1001,4.340947322105876,3001,0.05205178260803223
Ackley,30,10.0,10,2,1002,6.861877718222495,3001,0.05267906188964844
Ackley,30,10.0,10,3,1003,4.167124033181572,3001,0.048104286193847656
Ackley,30,10.0,10,4,1004,4.7002424367937685,3001,0.059702157974243164
Ackley,30,10.0,10,5,1005,3.3449659788651656,3001,0.06651449203491211
